Tempo (s),PWM,Temperatura (ÂºC)
1.0041022300720217,255,28.201368523949167
11.015361785888672,255,28.69012707722385
21.00576853752136,255,29.667644183773213
31.01265406608581,255,30.645161290322577
42.00194048881531,255,32.600195503421304
52.00908041000366,255,33.57771260997067
62.00051379203797,255,36.021505376344095
72.00583696365356,255,38.46529814271751
82.01325821876526,255,40.42033235581624
92.00350689888,255,42.86412512218965
102.01050972938538,255,44.819159335288376
112.0019392967224,255,46.28543499511242
122.00788426399232,255,47.26295210166178
132.0148696899414,255,49.70674486803519
143.00424933433533,255,51.17302052785924
153.01109790802002,255,53.12805474095797
163.00218319892883,255,54.10557184750733
173.00839161872864,255,55.57184750733137
183.01553511619568,255,57.03812316715542
193.00437831878665,255,58.01564027370478
203.012631893158,255,58.99315738025415
213.0029695034027,255,59.97067448680351
223.0098524093628,255,61.43695014662755
233.0000479221344,255,62.41446725317692
243.00698280334475,255,63.39198435972628
254.0129404067993,255,62.9032258064516
264.0035750865936,255,63.880742913000965
274.0105526447296,255,65.34701857282501
284.00102949142456,255,64.85826001955033
294.0079038143158,255,66.32453567937438
304.01491808891296,255,67.30205278592376
314.00515151023865,255,67.30205278592376
324.0122675895691,255,66.81329423264906
334.00251388549805,255,68.27956989247312
344.0094966888428,255,68.76832844574781
355.01527976989746,255,68.76832844574781
365.0062553882599,255,68.76832844574781
375.01227617263794,255,70.23460410557185
385.0028409957886,255,69.25708699902249
395.009605884552,255,70.72336265884654
405.00153040885925,255,70.72336265884654
415.0058681964874,255,70.23460410557185
425.0142638683319,255,71.21212121212122
435.00417590141296,255,71.21212121212122
445.0116045475006,255,70.72336265884654
456.00042748451233,255,71.7008797653959
466.0075674057007,255,71.7008797653959
476.01482033729553,255,72.67839687194527
486.0051805973053,255,72.18963831867057
496.012110710144,255,72.67839687194527
506.0038044452667,255,72.67839687194527
516.0094699859619,255,73.16715542521995
526.0162723064423,255,73.16715542521995
536.0066120624542,255,73.16715542521995
546.0136218070984,255,73.65591397849462
556.0040295124054,255,73.65591397849462
567.010091304779,255,74.633431085044
577.0170152187347,255,74.1446725317693
587.0071840286255,255,74.1446725317693
597.01398229599,255,73.65591397849462
607.0045313835144,255,74.1446725317693
617.0114805698395,255,74.1446725317693
627.0019085407257,255,74.1446725317693
637.0088322162628,255,74.1446725317693
647.0158519744873,255,74.1446725317693
657.0062341690063,255,74.633431085044
667.0131134986877,255,75.12218963831867
678.0025124549866,255,74.633431085044
688.0094695091248,255,75.12218963831867
698.0011975765228,255,74.633431085044
708.0067145824432,255,75.12218963831867
718.0135676860809,255,75.12218963831867
728.0037169456482,255,75.12218963831867
738.0105738639832,255,75.12218963831867
748.001282453537,255,75.12218963831867
758.0081396102905,255,76.09970674486803
768.014892578125,255,76.09970674486803
779.0043344497681,255,76.09970674486803
789.0116848945618,255,76.58846529814272
799.0020112991333,255,76.09970674486803
809.0090301036835,255,76.58846529814272
819.01584815979,255,76.58846529814272
829.0061128139496,255,77.0772238514174
839.0131940841675,255,76.58846529814272
849.0034081935883,255,76.09970674486803
859.0103681087494,255,76.09970674486803
869.0006778240204,255,75.61094819159335
880.0068054199219,255,77.0772238514174
890.0137603282928,255,76.58846529814272
900.0039637088776,255,77.0772238514174
910.0108942985536,255,76.09970674486803
920.0011990070344,255,76.09970674486803
930.0082080364228,255,76.09970674486803
940.01526594162,255,76.09970674486803
950.0054094791412,255,76.09970674486803
960.0124247074128,255,76.09970674486803
970.0037014484406,255,76.09970674486803
980.0097041130066,255,77.0772238514174
991.0158648490906,255,76.58846529814272
1001.0061173439026,0,76.09970674486803
