Tempo (s),PWM,Temperatura (ºC)
5.648728132247925,127,27.223851417399803
16.21529769897461,127,27.712609970674485
26.72014331817627,127,28.201368523949167
37.22827672958374,127,28.69012707722385
47.76813268661499,127,29.17888563049853
58.2911491394043,127,30.645161290322577
68.78103017807007,127,31.62267839687194
79.32062935829163,127,32.600195503421304
89.82735061645508,127,34.55522971652003
100.33367085456848,127,35.04398826979471
110.85687160491943,127,35.532746823069395
121.3633770942688,127,37.97653958944282
131.86971521377563,127,38.46529814271751
142.37635016441345,127,38.95405669599219
152.86234784126282,127,40.42033235581624
163.3561248779297,127,41.88660801564028
173.8625364303589,127,42.37536656891496
184.35213804244995,127,43.35288367546433
194.8754596710205,127,43.841642228739005
205.38193488121036,127,44.819159335288376
215.93411421775815,127,45.307917888563054
226.44496297836304,127,46.28543499511242
236.9847559928894,127,47.26295210166178
247.49120259284973,127,47.26295210166178
258.0199222564697,127,47.26295210166178
268.53742694854736,127,48.72922776148583
279.0276849269867,127,48.72922776148583
289.550478219986,127,49.70674486803519
300.0404336452484,127,50.19550342130987
310.5466842651367,127,50.68426197458456
321.0698492527008,127,51.17302052785924
331.59312748909,127,51.66177908113392
342.0829627513885,127,51.66177908113392
352.6059100627899,127,52.1505376344086
363.1364984512329,127,53.12805474095797
373.6521646976471,127,52.639296187683286
384.158679485321,127,53.61681329423264
394.6484262943268,127,53.61681329423264
405.1716110706329,127,54.10557184750733
415.6615407466888,127,54.59433040078201
426.1856117248535,127,54.59433040078201
436.6825864315033,127,55.08308895405669
447.2143213748932,127,55.57184750733137
457.7325825691223,127,55.08308895405669
468.2606780529022,127,55.57184750733137
478.750228881836,127,56.060606060606055
489.2735168933869,127,55.08308895405669
499.7809097766876,127,56.54936461388074
510.303347826004,127,56.54936461388074
520.8096354007721,127,57.03812316715542
531.3158254623413,127,57.03812316715542
541.8328652381897,127,57.03812316715542
552.4218852519989,127,57.5268817204301
562.9625787734985,127,57.5268817204301
573.5093173980713,127,57.5268817204301
584.0859260559082,127,57.03812316715542
594.6062393188477,127,58.01564027370478
605.1401538848877,127,58.01564027370478
615.6859030723572,127,57.5268817204301
626.2576494216919,127,58.50439882697947
636.8421213626862,127,58.01564027370478
647.4019596576691,127,58.50439882697947
657.950581073761,127,58.99315738025415
668.5023255348206,127,58.50439882697947
679.066995382309,127,59.481915933528825
689.6552455425262,127,58.50439882697947
700.25767993927,127,58.99315738025415
710.8023505210876,127,59.97067448680351
721.3530447483063,127,59.97067448680351
731.901759147644,127,59.481915933528825
742.4839057922363,127,59.97067448680351
753.0806384086609,127,58.99315738025415
763.6427025794983,127,59.97067448680351
774.1875193119049,127,59.481915933528825
784.7138476371765,127,59.97067448680351
795.2385494709015,127,59.97067448680351
805.7562444210052,127,60.4594330400782
816.3345010280609,127,60.4594330400782
826.9177587032318,127,59.97067448680351
837.5087368488312,127,60.4594330400782
848.0452194213867,127,60.4594330400782
858.5863842964172,127,60.94819159335288
869.1234877109528,127,60.4594330400782
879.7073526382446,127,60.94819159335288
890.2662944793701,127,60.4594330400782
900.818558216095,127,60.94819159335288
911.4164295196532,127,60.94819159335288
921.945918560028,127,61.43695014662755
932.4703590869904,127,60.94819159335288
943.0126338005066,127,61.43695014662755
953.56440448761,127,60.94819159335288
964.1308119297028,127,60.94819159335288
974.6513857841492,127,60.94819159335288
985.1643242836,127,61.43695014662755
995.7241711616516,127,61.92570869990224
1006.3089044094086,127,61.43695014662755
1016.8611524105072,127,61.43695014662755
1027.4713246822355,127,61.43695014662755
1038.019021511078,127,61.92570869990224
1048.5650203227997,127,61.92570869990224
1059.0785064697266,127,61.92570869990224
1069.6997017860413,127,61.92570869990224
1080.3091711997986,127,61.92570869990224
1090.8710260391235,127,61.43695014662755
1101.43226480484,127,61.92570869990224
1111.991219997406,127,62.41446725317692
1122.5231430530548,127,62.41446725317692
1133.0965576171875,127,62.41446725317692
1143.6228728294373,127,61.92570869990224
1154.1811525821686,127,62.41446725317692
1164.7132408618927,127,62.41446725317692
1175.2641336917875,127,62.41446725317692
1185.8641226291656,127,62.9032258064516
1196.4283876419067,127,62.9032258064516
1206.997760295868,127,61.92570869990224
1217.6064059734344,127,62.41446725317692
