Tempo (s),PWM,Temperatura (ºC)
158.3003556728363,25,46.28543499511242
159.30425834655762,30,46.28543499511242
160.28510451316833,4,46.7741935483871
161.30514693260193,0,46.7741935483871
162.2923367023468,0,46.7741935483871
163.3461754322052,0,46.7741935483871
164.3087363243103,0,46.7741935483871
165.31396913528442,25,45.307917888563054
166.3710436820984,0,46.7741935483871
167.38405323028564,25,45.79667644183773
168.35762405395508,34,46.28543499511242
169.39444613456726,30,46.28543499511242
170.36956143379211,56,45.79667644183773
171.37619853019714,30,46.28543499511242
172.40484857559204,56,45.307917888563054
173.39225792884827,30,46.7741935483871
174.4367003440857,56,45.79667644183773
175.4667625427246,30,46.28543499511242
176.41129159927368,56,45.79667644183773
177.56154608726501,30,46.28543499511242
178.46948337554932,56,45.79667644183773
179.60952377319336,81,45.79667644183773
180.43791794776917,56,46.7741935483871
181.43727445602417,81,44.819159335288376
182.47657203674316,64,45.79667644183773
183.45020651817322,60,45.79667644183773
184.45546865463257,35,46.28543499511242
185.4699192047119,60,45.307917888563054
186.47493195533752,50,45.79667644183773
187.48606896400452,76,44.819159335288376
188.768812417984,50,46.28543499511242
189.61121940612793,76,45.307917888563054
190.73743414878845,101,45.307917888563054
191.70139336585999,76,45.79667644183773
192.74022030830383,50,45.79667644183773
193.78851580619812,25,45.79667644183773
194.7697377204895,50,45.307917888563054
195.74718928337097,76,45.307917888563054
196.73718810081482,50,45.79667644183773
197.82478523254395,25,45.79667644183773
198.94059467315674,0,45.79667644183773
199.99124431610107,0,45.79667644183773
200.94006896018982,25,45.307917888563054
201.97868633270264,5,45.79667644183773
202.99778366088867,8,45.79667644183773
203.99342346191406,34,45.307917888563054
204.9951090812683,59,45.307917888563054
205.99043107032776,85,44.819159335288376
206.96882486343384,90,45.307917888563054
208.05473637580872,65,45.79667644183773
208.96764874458313,90,44.33040078201369
209.99642968177795,65,45.79667644183773
210.9774899482727,81,45.307917888563054
211.9725501537323,79,45.307917888563054
212.99306344985962,104,44.819159335288376
214.1156895160675,79,45.307917888563054
214.94502353668213,104,44.819159335288376
215.91843223571777,79,45.307917888563054
217.01879620552063,64,45.307917888563054
217.9515163898468,89,44.819159335288376
218.96950149536133,64,45.307917888563054
220.0001232624054,89,44.33040078201369
221.11194324493408,64,45.307917888563054
