Tempo (s),PWM1,PWM2,Temperatura1 (ºC),Temperatura2 (ºC)
0.0,255,127,nan,nan
1.0122101306915283,255,127,32.11143695014662,31.13391984359726
2.001831531524658,255,127,32.11143695014662,31.13391984359726
3.0028512477874756,255,127,31.62267839687194,30.645161290322577
4.005411863327026,255,127,31.62267839687194,31.13391984359726
5.0107505321502686,255,127,31.62267839687194,31.13391984359726
6.0241804122924805,255,127,31.62267839687194,31.13391984359726
7.015909671783447,255,127,31.62267839687194,30.645161290322577
8.014865636825562,255,127,32.11143695014662,30.645161290322577
9.014971256256104,255,127,31.62267839687194,30.156402737047895
10.012696981430054,255,127,32.11143695014662,30.645161290322577
11.013355255126953,255,127,32.11143695014662,30.645161290322577
12.010972499847412,255,127,32.11143695014662,31.13391984359726
13.009738206863403,255,127,32.11143695014662,30.645161290322577
14.00903582572937,255,127,31.62267839687194,31.13391984359726
15.00837755203247,255,127,32.11143695014662,31.13391984359726
16.00704336166382,255,127,32.600195503421304,30.645161290322577
17.006231546401978,255,127,32.600195503421304,31.13391984359726
18.00497579574585,255,127,32.600195503421304,30.645161290322577
19.00393009185791,255,127,33.08895405669598,31.13391984359726
20.00202488899231,255,127,32.600195503421304,31.13391984359726
21.002079486846924,255,127,33.57771260997067,31.62267839687194
22.001121044158936,255,127,33.57771260997067,31.62267839687194
23.000415086746216,255,127,34.066471163245346,31.62267839687194
24.016093015670776,255,127,33.57771260997067,31.62267839687194
25.01498794555664,255,127,34.066471163245346,32.11143695014662
26.014235258102417,255,127,34.066471163245346,32.11143695014662
27.01319694519043,255,127,34.55522971652003,32.11143695014662
28.012199878692627,255,127,34.066471163245346,32.11143695014662
29.01124119758606,255,127,34.55522971652003,32.11143695014662
30.010435104370117,255,127,34.55522971652003,32.11143695014662
31.009401082992554,255,127,35.04398826979471,32.11143695014662
32.00809168815613,255,127,34.55522971652003,32.11143695014662
33.0072979927063,255,127,35.04398826979471,32.11143695014662
34.006332874298096,255,127,34.55522971652003,32.11143695014662
35.00552439689636,255,127,34.55522971652003,32.11143695014662
36.00435280799866,255,127,34.55522971652003,31.62267839687194
37.00350832939148,255,127,35.04398826979471,32.11143695014662
38.00251507759094,255,127,34.55522971652003,32.11143695014662
39.0016348361969,255,127,35.04398826979471,32.11143695014662
40.000571489334106,255,127,35.04398826979471,32.600195503421304
41.00055909156799,255,127,35.532746823069395,32.11143695014662
42.01534628868103,255,127,35.532746823069395,32.600195503421304
43.0143358707428,255,127,36.021505376344095,33.08895405669598
44.01343894004822,255,127,36.51026392961878,33.08895405669598
45.01240086555481,255,127,36.51026392961878,33.57771260997067
46.011470794677734,255,127,36.999022482893466,33.57771260997067
47.01054239273071,255,127,36.999022482893466,33.57771260997067
48.00933241844177,255,127,37.487781036168144,33.57771260997067
49.00864887237549,255,127,36.999022482893466,33.57771260997067
50.007567167282104,255,127,37.487781036168144,34.066471163245346
51.006731033325195,255,127,37.487781036168144,33.57771260997067
52.00571894645691,255,127,37.487781036168144,34.066471163245346
53.004881620407104,255,127,37.97653958944282,33.57771260997067
54.00373959541321,255,127,38.46529814271751,33.57771260997067
55.00282406806946,255,127,37.97653958944282,34.066471163245346
56.00191307067871,255,127,38.46529814271751,34.55522971652003
57.000847578048706,255,127,38.46529814271751,34.066471163245346
58.016645669937134,255,127,38.95405669599219,34.55522971652003
59.015671253204346,255,127,38.95405669599219,34.066471163245346
60.01219463348389,255,127,38.95405669599219,34.55522971652003
61.01353478431702,255,127,38.95405669599219,34.55522971652003
62.012595415115356,255,127,39.44281524926687,34.55522971652003
63.011680364608765,255,127,38.95405669599219,34.55522971652003
64.01059985160828,255,127,38.95405669599219,34.55522971652003
65.00977849960327,255,127,38.95405669599219,34.066471163245346
66.00871872901917,255,127,38.95405669599219,34.066471163245346
67.00780963897705,255,127,38.95405669599219,34.55522971652003
68.00693941116333,255,127,39.44281524926687,34.55522971652003
69.00600481033325,255,127,39.93157380254155,34.55522971652003
70.00495791435242,255,127,39.93157380254155,34.55522971652003
71.00398087501526,255,127,40.420332355816235,35.532746823069395
72.00317811965942,255,127,40.420332355816235,35.532746823069395
73.00219416618347,255,127,40.90909090909092,36.021505376344095
74.00101971626282,255,127,40.90909090909092,35.532746823069395
75.00115060806274,255,127,41.3978494623656,35.532746823069395
76.01571726799011,255,127,40.420332355816235,35.532746823069395
77.01581025123596,255,127,40.90909090909092,35.532746823069395
78.0135817527771,255,127,40.90909090909092,35.532746823069395
79.0127944946289,255,127,40.90909090909092,35.532746823069395
80.01190233230591,255,127,40.90909090909092,35.04398826979471
81.01094698905945,255,127,41.3978494623656,36.021505376344095
82.00993251800537,255,127,41.3978494623656,35.532746823069395
83.0090262889862,255,127,42.37536656891496,36.51026392961878
84.00805425643921,255,127,42.37536656891496,36.999022482893466
85.00710535049438,255,127,42.86412512218965,36.51026392961878
86.00612282752991,255,127,42.37536656891496,36.999022482893466
87.00500822067261,255,127,42.86412512218965,36.51026392961878
88.00414562225342,255,127,42.86412512218965,36.999022482893466
89.00287580490112,255,127,43.35288367546433,36.51026392961878
90.00282907485962,255,127,42.86412512218965,36.51026392961878
91.0013427734375,255,127,42.86412512218965,36.51026392961878
92.00032186508179,255,127,42.86412512218965,36.51026392961878
93.01603937149048,255,127,42.86412512218965,36.51026392961878
94.0150363445282,255,127,42.86412512218965,36.51026392961878
95.01400518417358,255,127,42.86412512218965,36.999022482893466
96.01288318634033,255,127,43.35288367546433,36.999022482893466
97.0121238231659,255,127,43.35288367546433,36.999022482893466
98.0112419128418,255,127,43.841642228739005,37.487781036168144
99.01020860671997,255,127,44.33040078201369,37.97653958944282
100.00936388969421,255,127,44.819159335288376,37.97653958944282
101.00816440582275,255,127,44.819159335288376,37.97653958944282
102.00122666358948,255,127,45.307917888563054,37.97653958944282
103.00602126121521,255,127,45.307917888563054,37.97653958944282
104.00535273551941,255,127,45.79667644183773,38.46529814271751
105.00437569618225,255,127,45.307917888563054,38.46529814271751
106.00952792167664,255,127,45.79667644183773,38.46529814271751
107.0022451877594,255,127,45.307917888563054,38.46529814271751
108.00085663795471,255,127,45.79667644183773,38.46529814271751
109.0004711151123,255,127,45.307917888563054,38.46529814271751
110.000479221344,255,127,45.307917888563054,38.46529814271751
111.00426411628723,255,127,45.307917888563054,38.46529814271751
112.01425576210022,255,127,45.307917888563054,38.46529814271751
113.01331830024719,255,127,45.79667644183773,38.46529814271751
114.01202487945557,255,127,45.307917888563054,38.46529814271751
115.01131272315979,255,127,45.79667644183773,38.95405669599219
116.0103690624237,255,127,46.28543499511242,39.44281524926687
117.01733541488647,255,127,46.7741935483871,39.93157380254155
118.0084445476532,255,127,46.7741935483871,39.93157380254155
119.00755143165588,255,127,47.26295210166178,39.93157380254155
120.00596308708191,255,127,46.7741935483871,39.93157380254155
121.00556325912476,255,127,46.7741935483871,39.44281524926687
122.00458693504333,255,127,46.28543499511242,39.44281524926687
123.00321936607361,255,127,46.7741935483871,39.93157380254155
124.00161838531494,255,127,46.7741935483871,39.44281524926687
125.00168299674988,255,127,47.26295210166178,40.420332355816235
126.00063252449036,255,127,47.75171065493646,40.420332355816235
127.00059127807617,255,127,48.240469208211145,40.90909090909092
128.01549887657166,255,127,47.75171065493646,40.420332355816235
129.01473188400269,255,127,47.75171065493646,40.420332355816235
130.01321744918823,255,127,47.26295210166178,39.93157380254155
131.01237297058105,255,127,47.75171065493646,39.93157380254155
132.01140356063843,255,127,47.75171065493646,39.93157380254155
133.01069140434265,255,127,47.75171065493646,40.420332355816235
134.0096549987793,255,127,48.240469208211145,40.90909090909092
135.00814533233643,255,127,48.72922776148583,41.3978494623656
136.00758147239685,255,127,48.72922776148583,41.3978494623656
137.00627422332764,255,127,48.72922776148583,41.88660801564028
138.0055651664734,255,127,48.72922776148583,41.3978494623656
139.00319981575012,255,127,48.240469208211145,40.90909090909092
140.0026228427887,255,127,48.240469208211145,40.90909090909092
141.00228881835938,255,127,48.240469208211145,40.90909090909092
142.00181603431702,255,127,48.240469208211145,41.3978494623656
143.0009787082672,255,127,49.21798631476051,41.88660801564028
144.0120861530304,255,127,49.21798631476051,42.37536656891496
145.0152666568756,255,127,49.70674486803519,42.37536656891496
146.0141839981079,255,127,49.70674486803519,42.37536656891496
147.01220989227295,255,127,49.21798631476051,41.88660801564028
148.01273274421692,255,127,49.21798631476051,41.88660801564028
