Tempo (s),PWM1,PWM2,Temperatura1 (ºC),Temperatura2 (ºC)
10.204477071762083,255,127,,
20.93892455101013,255,127,30.15640273704789,28.201368523949167
31.56190323829651,255,127,30.645161290322577,29.17888563049853
42.2174756526947,255,127,33.08895405669598,29.17888563049853
52.80797743797302,255,127,34.066471163245346,30.15640273704789
63.44762563705444,255,127,34.55522971652003,31.62267839687194
74.07077145576477,255,127,36.999022482893466,30.645161290322577
84.71043992042542,255,127,39.44281524926687,33.57771260997067
95.34955406188963,255,127,40.90909090909092,33.08895405669598
105.95639181137084,255,127,42.37536656891496,35.532746823069395
116.57951474189758,255,127,43.35288367546433,35.04398826979471
127.21909976005554,255,127,44.819159335288376,36.021505376344095
137.82536244392395,255,127,46.7741935483871,36.999022482893466
148.4816689491272,255,127,48.72922776148583,39.44281524926687
159.13811087608337,255,127,50.19550342130987,40.42033235581624
169.7611334323883,255,127,51.66177908113392,41.3978494623656
180.38408708572388,255,127,52.1505376344086,41.88660801564028
191.0073766708374,255,127,52.1505376344086,42.86412512218965
201.58026027679443,255,127,53.12805474095797,42.37536656891496
212.2365772724152,255,127,55.57184750733137,44.819159335288376
222.87623524665835,255,127,55.57184750733137,45.79667644183773
233.54928827285767,255,127,58.01564027370478,46.7741935483871
244.18956112861636,255,127,58.50439882697947,46.7741935483871
254.81223011016849,255,127,58.99315738025415,47.75171065493646
265.4191961288452,255,127,58.50439882697947,48.240469208211145
276.14091420173645,255,127,60.94819159335288,49.21798631476051
286.79715299606323,255,127,59.97067448680351,49.70674486803519
297.4210629463196,255,127,61.43695014662755,51.17302052785924
308.04334712028503,255,127,63.880742913000965,52.1505376344086
318.6335618495941,255,127,64.36950146627565,53.12805474095797
329.17311787605286,255,127,64.85826001955033,53.12805474095797
339.77944445610046,255,127,65.83577712609969,54.10557184750733
350.38597440719604,255,127,65.83577712609969,54.59433040078201
360.9423983097077,255,127,66.81329423264906,55.08308895405669
371.5492668151856,255,127,66.32453567937438,55.57184750733137
382.1718826293945,255,127,68.27956989247312,56.54936461388074
392.7948818206787,255,127,68.76832844574781,57.03812316715542
403.4188697338104,255,127,68.76832844574781,57.03812316715542
414.0339276790619,255,127,69.74584555229717,56.060606060606055
424.6804928779602,255,127,70.23460410557185,57.03812316715542
435.33647894859314,255,127,70.72336265884654,58.99315738025415
445.9436082839966,255,127,71.7008797653959,59.481915933528825
456.6164529323578,255,127,71.21212121212122,59.97067448680351
467.2890305519104,255,127,72.18963831867057,60.4594330400782
477.9784953594208,255,127,70.72336265884654,58.99315738025415
488.6351432800293,255,127,72.18963831867057,60.4594330400782
499.27668142318726,255,127,72.18963831867057,60.4594330400782
509.881427526474,255,127,71.7008797653959,61.43695014662755
520.5375924110413,255,127,72.18963831867057,61.43695014662755
531.2090611457825,255,127,72.67839687194527,61.92570869990224
541.7845423221588,255,127,74.633431085044,62.9032258064516
552.4009082317352,255,127,75.12218963831867,63.880742913000965
563.0156879425049,255,127,74.1446725317693,62.9032258064516
