Tempo (s),PWM1,PWM2,Temperatura1 (ÂºC),Temperatura2 (ÂºC)
1.015066146850586,255,255,27.712609970674485,26.73509286412512
11.003448486328123,255,255,28.201368523949167,27.223851417399803
21.013261795043945,255,255,28.69012707722385,27.223851417399803
31.003761053085327,255,255,29.17888563049853,28.69012707722385
41.01074242591858,255,255,30.645161290322577,29.17888563049853
51.00113487243652,255,255,31.62267839687194,30.645161290322577
61.00804352760315,255,255,34.066471163245346,32.11143695014662
71.01518774032593,255,255,35.532746823069395,33.08895405669598
81.00535845756531,255,255,36.51026392961878,34.55522971652003
91.01198983192444,255,255,37.97653958944282,35.532746823069395
101.00270509719849,255,255,39.93157380254155,36.999022482893466
111.00379252433775,255,255,40.90909090909092,38.46529814271751
121.01625990867616,255,255,42.86412512218965,40.42033235581624
131.00712299346924,255,255,43.841642228739005,41.3978494623656
141.01423931121826,255,255,44.819159335288376,42.86412512218965
151.00443863868713,255,255,46.28543499511242,43.841642228739005
161.01157569885254,255,255,47.26295210166178,45.79667644183773
171.00186729431152,255,255,48.72922776148583,46.28543499511242
181.00869154930115,255,255,50.19550342130987,48.240469208211145
191.0153245925904,255,255,50.68426197458456,49.21798631476051
201.00600719451904,255,255,52.1505376344086,49.70674486803519
212.0119297504425,255,255,53.12805474095797,51.66177908113392
222.0027637481689,255,255,54.10557184750733,52.639296187683286
232.009248495102,255,255,55.08308895405669,53.61681329423264
242.01648426055908,255,255,56.54936461388074,54.59433040078201
252.00672435760492,255,255,57.5268817204301,55.08308895405669
262.0138404369354,255,255,58.50439882697947,56.060606060606055
272.0041832923889,255,255,59.481915933528825,57.5268817204301
282.01119804382324,255,255,59.97067448680351,58.01564027370478
292.0093779563904,255,255,59.97067448680351,58.50439882697947
302.0086405277252,255,255,61.43695014662755,59.481915933528825
312.0157163143158,255,255,62.41446725317692,59.97067448680351
322.00600481033325,255,255,62.9032258064516,60.4594330400782
332.0128829479217,255,255,63.39198435972628,61.92570869990224
342.003351688385,255,255,64.85826001955033,62.9032258064516
352.0102479457855,255,255,65.34701857282501,63.39198435972628
362.0007603168488,255,255,64.85826001955033,63.39198435972628
372.0076775550842,255,255,65.83577712609969,63.880742913000965
382.0146913528442,255,255,66.32453567937438,64.36950146627565
392.0050642490387,255,255,67.30205278592376,64.85826001955033
402.0121080875397,255,255,68.27956989247312,66.32453567937438
412.0023398399353,255,255,68.76832844574781,66.81329423264906
422.0093765258789,255,255,69.25708699902249,67.30205278592376
432.0163702964783,255,255,69.25708699902249,67.79081133919844
442.00663805007935,255,255,69.74584555229717,67.79081133919844
452.0136592388153,255,255,69.74584555229717,68.27956989247312
462.00403904914856,255,255,70.72336265884654,69.25708699902249
472.0106937885285,255,255,70.72336265884654,69.74584555229717
482.0012862682343,255,255,71.7008797653959,69.74584555229717
492.0085127353668,255,255,72.18963831867057,70.72336265884654
502.0153284072876,255,255,72.67839687194527,71.21212121212122
512.0058419704437,255,255,72.67839687194527,71.21212121212122
522.0127005577087,255,255,73.16715542521995,70.72336265884654
532.0026586055756,255,255,73.16715542521995,71.7008797653959
542.0099699497223,255,255,74.1446725317693,73.16715542521995
552.0171136856079,255,255,74.1446725317693,73.16715542521995
562.0072860717773,255,255,75.12218963831867,73.16715542521995
572.0087718963623,255,255,75.12218963831867,73.65591397849462
582.0045573711395,255,255,75.61094819159335,74.1446725317693
592.0113470554352,255,255,76.09970674486803,74.1446725317693
602.0026326179504,255,255,76.09970674486803,74.633431085044
612.0091605186462,255,255,75.61094819159335,74.633431085044
622.0006885528564,255,255,75.61094819159335,74.633431085044
632.0064918994904,255,255,77.0772238514174,75.61094819159335
642.013242483139,255,255,76.09970674486803,75.12218963831867
652.0038294792175,255,255,77.56598240469208,76.09970674486803
662.0108885765076,255,255,77.56598240469208,76.09970674486803
672.0010268688202,255,255,78.05474095796676,76.58846529814272
682.0087420940399,255,255,78.05474095796676,77.0772238514174
692.0151467323303,255,255,79.03225806451613,77.0772238514174
702.0054666996002,255,255,79.03225806451613,77.0772238514174
712.0123934745789,255,255,78.54349951124145,77.56598240469208
722.0062346458435,255,255,79.5210166177908,78.05474095796676
732.009740114212,255,255,78.54349951124145,77.56598240469208
742.010514497757,255,255,79.5210166177908,77.56598240469208
752.0071258544922,255,255,79.5210166177908,78.05474095796676
762.0142486095428,255,255,79.5210166177908,78.54349951124145
772.0046529769897,255,255,80.00977517106548,78.54349951124145
782.0113167762756,255,255,80.00977517106548,79.03225806451613
792.0018332004547,255,255,80.49853372434018,79.5210166177908
802.0087175369263,255,255,80.98729227761486,80.00977517106548
812.0157747268677,255,255,80.98729227761486,80.00977517106548
822.006288766861,255,255,81.47605083088953,80.49853372434018
832.0129854679108,255,255,81.47605083088953,80.00977517106548
842.0035653114319,255,255,80.98729227761486,80.00977517106548
853.0095992088318,255,255,81.47605083088953,80.49853372434018
863.0164601802826,255,255,82.94232649071358,80.98729227761486
873.0057308673859,255,255,82.4535679374389,81.47605083088953
883.0139093399048,255,255,81.96480938416421,80.49853372434018
893.0041031837463,255,255,82.4535679374389,81.47605083088953
903.0112056732178,255,255,82.94232649071358,81.47605083088953
913.0016069412231,255,255,83.43108504398826,81.96480938416421
923.008498430252,255,255,82.94232649071358,81.47605083088953
933.0079877376556,255,255,82.4535679374389,81.96480938416421
943.0057709217072,255,255,82.94232649071358,82.4535679374389
953.0128519535064,255,255,83.43108504398826,82.4535679374389
963.003190279007,255,255,82.94232649071358,81.96480938416421
973.01087641716,255,255,82.94232649071358,81.96480938416421
