Tempo (s),PWM1,PWM2,Temperatura1 (ºC),Temperatura2 (ºC)
0.3451247215270996,255,0,nan,nan
1.3986642360687256,255,0,29.667644183773213,27.712609970674485
2.44722318649292,255,0,29.667644183773213,28.201368523949167
3.4980382919311523,255,0,30.156402737047895,27.712609970674485
4.562023162841797,255,0,30.156402737047895,27.712609970674485
5.6274871826171875,255,0,29.667644183773213,28.201368523949167
6.710437059402466,255,0,29.667644183773213,28.201368523949167
7.769672870635986,255,0,30.156402737047895,28.201368523949167
8.825525045394897,255,0,30.156402737047895,28.201368523949167
9.906683921813965,255,0,30.645161290322577,28.201368523949167
10.972959041595459,255,0,30.156402737047895,28.69012707722385
12.037776231765747,255,0,30.645161290322577,28.201368523949167
13.103835105895996,255,0,30.156402737047895,28.201368523949167
14.15288519859314,255,0,30.156402737047895,28.201368523949167
15.218464374542236,255,0,30.645161290322577,28.201368523949167
16.284226179122925,255,0,30.156402737047895,27.712609970674485
17.349741458892822,255,0,30.645161290322577,27.712609970674485
18.398765325546265,255,0,30.156402737047895,27.712609970674485
19.447685480117798,255,0,30.645161290322577,27.712609970674485
20.497557640075684,255,0,30.645161290322577,28.201368523949167
21.545304775238037,255,0,31.13391984359726,28.201368523949167
22.59484362602234,255,0,31.62267839687194,28.69012707722385
23.644172430038452,255,0,31.62267839687194,28.69012707722385
24.708739042282104,255,0,31.62267839687194,28.69012707722385
25.7580668926239,255,0,32.11143695014662,28.69012707722385
26.823789596557617,255,0,31.62267839687194,29.17888563049853
27.8893461227417,255,0,32.11143695014662,28.69012707722385
28.95599389076233,255,0,32.11143695014662,28.201368523949167
30.02060031890869,255,0,31.62267839687194,28.201368523949167
31.086350202560425,255,0,31.62267839687194,28.201368523949167
32.15183115005493,255,0,31.62267839687194,28.201368523949167
33.234445095062256,255,0,32.11143695014662,28.201368523949167
34.283387660980225,255,0,32.600195503421304,28.69012707722385
35.331478118896484,255,0,33.08895405669598,28.69012707722385
36.38125562667847,255,0,33.08895405669598,28.69012707722385
37.43089461326599,255,0,33.08895405669598,28.69012707722385
38.49583315849304,255,0,33.57771260997067,29.17888563049853
39.56137561798096,255,0,33.57771260997067,28.69012707722385
40.627190589904785,255,0,34.066471163245346,29.17888563049853
41.69269561767578,255,0,34.066471163245346,29.17888563049853
42.74283719062805,255,0,34.55522971652003,29.17888563049853
43.80724263191223,255,0,34.55522971652003,29.17888563049853
44.85765337944031,255,0,34.55522971652003,28.69012707722385
45.90678310394287,255,0,34.55522971652003,28.69012707722385
46.97080135345459,255,0,34.55522971652003,28.201368523949167
48.0367112159729,255,0,34.55522971652003,28.201368523949167
49.09610414505005,255,0,34.55522971652003,28.201368523949167
50.15089774131775,255,0,35.532746823069395,29.17888563049853
51.23330211639404,255,0,35.532746823069395,29.17888563049853
52.2990026473999,255,0,36.021505376344095,28.69012707722385
53.3642737865448,255,0,36.021505376344095,29.17888563049853
54.430280447006226,255,0,36.021505376344095,29.17888563049853
55.49600529670715,255,0,36.021505376344095,29.17888563049853
56.57811498641968,255,0,36.021505376344095,29.17888563049853
57.62687397003174,255,0,36.021505376344095,28.69012707722385
58.69943380355835,255,0,36.021505376344095,28.69012707722385
59.758413314819336,255,0,36.999022482893466,29.17888563049853
60.807270765304565,255,0,36.51026392961878,28.69012707722385
61.856360912323,255,0,36.51026392961878,28.69012707722385
62.90543794631958,255,0,36.999022482893466,28.69012707722385
63.954399824142456,255,0,37.487781036168144,29.17888563049853
65.02018785476685,255,0,37.487781036168144,29.17888563049853
66.08582949638367,255,0,37.97653958944282,29.17888563049853
67.1346435546875,255,0,37.97653958944282,29.17888563049853
68.21696615219116,255,0,37.97653958944282,29.667644183773213
69.2658019065857,255,0,38.46529814271751,29.667644183773213
70.31598615646362,255,0,38.46529814271751,29.667644183773213
71.36375188827515,255,0,38.46529814271751,29.17888563049853
